  weight  calhour  calories
    43.7      19     NA
    43.7      43     279
    43.7      56     346
    54.6      13     NA
    54.6      19     NA
    54.6      43     280
    54.6      56     335
    55.7      13     NA
    55.7      26     212
    55.7    34.5     244
    55.7      43     285
    58.8      13     NA
    58.8      43     298
    60.5      19     NA
    60.5      43     317
    60.5      56     347
    61.9      13     NA
    61.9      19     216
    61.9    34.5     265
    61.9      43     306
    61.9      56     348
    66.7      13     NA
    66.7      43     324
    66.7      56     352
